2023-02-21 09:26:17,501 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-21 09:26:17,512 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-21 09:26:18,318 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-21 09:26:18,381 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:201) - Finished Spring Data repository scanning in 54 ms. Found 2 JPA repository interfaces.
2023-02-21 09:26:18,926 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-02-21 09:26:19,033 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:292) - Root WebApplicationContext: initialization completed in 1520 ms
2023-02-21 09:26:19,187 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration(logDataSources:98) - H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/test'
2023-02-21 09:26:20,213 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 09:26:20,652 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18ffd3ea, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@19503953, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ca25fb3, org.springframework.security.web.header.HeaderWriterFilter@12d3ff9e, org.springframework.security.web.authentication.logout.LogoutFilter@138947ec, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3da9f172, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23f1bcde, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@239ecd7d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@782ed151, org.springframework.security.web.session.SessionManagementFilter@39e95f8d, org.springframework.security.web.access.ExceptionTranslationFilter@d9d4197, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@49631f07]
2023-02-21 09:26:20,655 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 09:26:20,656 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
