2023-02-21 10:07:08,272 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 10:07:13,039 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-21 10:07:13,041 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-21 10:07:13,652 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-21 10:07:13,710 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:201) - Finished Spring Data repository scanning in 44 ms. Found 2 JPA repository interfaces.
2023-02-21 10:07:14,137 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-02-21 10:07:14,225 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:292) - Root WebApplicationContext: initialization completed in 1184 ms
2023-02-21 10:07:14,355 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration(logDataSources:98) - H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/test'
2023-02-21 10:07:15,156 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 10:07:15,546 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@735aa1f9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7116419, org.springframework.security.web.context.SecurityContextPersistenceFilter@2e2b1619, org.springframework.security.web.header.HeaderWriterFilter@2122c460, org.springframework.security.web.authentication.logout.LogoutFilter@7afd1f7a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@653587d0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@119f2421, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5b1c6889, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1cb6887c, org.springframework.security.web.session.SessionManagementFilter@7170abf4, org.springframework.security.web.access.ExceptionTranslationFilter@e79a490, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@28bd46]
2023-02-21 10:07:15,552 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 10:07:15,553 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
