2023-02-21 14:03:55,442 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 14:04:04,377 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-21 14:04:04,379 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-21 14:04:04,987 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-21 14:04:05,043 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:201) - Finished Spring Data repository scanning in 42 ms. Found 2 JPA repository interfaces.
2023-02-21 14:04:05,481 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-02-21 14:04:05,574 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:292) - Root WebApplicationContext: initialization completed in 1195 ms
2023-02-21 14:04:05,701 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration(logDataSources:98) - H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/test'
2023-02-21 14:04:06,493 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 14:04:06,865 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@b9eb112, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3ac48024, org.springframework.security.web.context.SecurityContextPersistenceFilter@2a022455, org.springframework.security.web.header.HeaderWriterFilter@4add71c7, org.springframework.security.web.authentication.logout.LogoutFilter@71ecf135, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@557f67f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6b748875, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@80d039e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@54036602, org.springframework.security.web.session.SessionManagementFilter@1a313152, org.springframework.security.web.access.ExceptionTranslationFilter@1f35e453, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@750701ab]
2023-02-21 14:04:06,871 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:04:06,871 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
2023-02-21 14:04:06,871 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
